"Category","File","UserVerdict","GameServerRisk","SHA256","DecompiledProject","Summary"
"Unknown","fayliki dlya bistrogo vzyatiya prof gosta.dll","Unknown","Unknown native/non-managed","20F35AD8D3C1239B0FFD93588C40EA297DAFA61C49CBFEAD89313DE07A4B71BD","none","440-byte non-managed file. `AssemblyName.GetAssemblyName` reports unknown file format; not classifiable by managed .NET review."
"Malware and anti-detect","FireStationBypass.dll","Safe","Abuse: anti-cheat/anti-detect bypass","36438BFC3136DAC0375A326C23B2441480B5309578A8974D2F155494A1D85418","FireStationBypass__FireStationBypass__36438BFC","Patches `MelonityVerificationClient`, forges clean verification responses, and hides suspicious Harmony/Subverter/Marsey/Sedition/Ware type lookups."
"Visual bypass","FlashPatch.dll","Safe","Abuse: visual bypass","458DA83985DDC433DBB8930EE35DE962EB8EF7640110C124C4A20A49867C0F86","FlashPatch__FlashPatch__458DA839","Prefix skips `Content.Client.Flash.FlashOverlay.Draw`, disabling flash effects."
"Visual bypass","FoamControll.dll","Safe","Abuse: visual bypass","4A4FBE365E19303AF1D2CD6A23A80A15C182BC86B024EF0A0F21DDF72E78F14C","FoamControll__FoamControll__4A4FBE36","Adds command/CVar control for foam transparency, reducing a normal visual obstacle."
"Network and exploit helpers","ForceListing_1.dll","Safe","Abuse: purchase restriction bypass","AEBE1B6210D28E62A483890D5579EA5CA1387433C58EA8CB327DB1AAD8BD5247","ForceListing_1__ForceListing__AEBE1B62","Prefixes `StoreListingControl` constructor and forces `canBuy = true`, bypassing UI purchase restrictions."
"Admin and permission bypass","FreeOverlay.dll","Safe","Abuse: ESP/overlay","15CB78F7150907000F7FC0C19A3722D1E8FFB27FA1AD3327EC9F9AEEC14C6381","FreeOverlay__ClassLibrary1__15CB78F7","Adds an overlay drawing entity names/statuses and local combat indicators, providing ESP-like information."
"Network and exploit helpers","FrontierExploit.dll","Safe","Abuse: forged economy update","0BE2E8890CBE889AE08B2C9AB3D288CA43F6DD2B8477057A594331BDCEF5E56E","FrontierExploit__FrontierExploit__0BE2E889","Changes a selected lobby character `BankBalance` and sends `MsgUpdateCharacter` to the server."
"Admin and permission bypass","fullhud.dll","Safe","Abuse: HUD/status info bypass","77AFC8A668221D7D17E0D98BC47CF5ED6B88B1ED4C452A10DCFAE9E8F5083489","fullhud__superhudoverlay__77AFC8A6","Patches HUD/status icon paths to expose extra job/status information normally unavailable to normal players."
"Admin and permission bypass","GhostPatch.dll","Safe","Abuse: ghost visibility bypass","CA3CCA8F979A256D5C2F5D157085C10A383ABE1D270B307E4FE92FE1CB67A737","GhostPatch__GhostPatch__CA3CCA8F","Patches `GhostSystem` to force ghost visibility and keep ghost sprite/layers visible after state changes."
"Admin and permission bypass","HudOverlaysPatch.dll","Safe","Abuse: HUD/status info bypass","389A17AEB18BF3EC2797EC9717BE410BBE72E93F3B547EC4EA1A447FCE0F2A1B","HudOverlaysPatch__HudOverlaysPatch__389A17AE","Adds or exposes extra HUD/status overlay components/icons."
"Spam and chat abuse","jerk.dll","Safe","Abuse: action spam/crash-like behavior","916B0BD4CEE5A3C12EB5A611C44DC52A508F875D83178FE03D17032C71768FFA","jerk__jerk__916B0BD4","Contains `JerkCrash`, repeatedly invoking hand UI clicks while hands are free; may cause spam, desync, or crash-like behavior."
"Dependencies","Lidgren.Network.dll","Safe","Dependency","25A1CBC64BC75497DC6C67FE8A3246529C762271C68F8AD4C2864F8973E6CFBD","Lidgren.Network__Lidgren.Network__25A1CBC6","Third-party Lidgren networking library. No patch behavior by itself."
"Visual bypass","LightDisabler.dll","Safe","Abuse: fullbright/no-FOV","091466FF7FBA9BCA49448C21F20F15130DDC2F6363FC95050D4E9AEB7E450CC1","LightDisabler__LightDisabler__091466FF","Blocks `Clyde.ApplyFovToBuffer` and `Clyde.DrawLightsAndFov`, producing fullbright/no-FOV behavior."
"Dependencies","Mods/Hexa.NET.ImGui.Backends.dll","Safe","Dependency","A8AC0B8926AB4E0FBF811ECC556510E97BEA0BF8672C06EF3F73B0A35ABA7970","Hexa.NET.ImGui.Backends__Hexa.NET.ImGui.Backends__A8AC0B89","ImGui backend dependency."
"Dependencies","Mods/Hexa.NET.ImGui.dll","Safe","Dependency","4E73425C3A064CA8F91BA3D50A86370A14EB80004F055966F855B9937079ADB3","Hexa.NET.ImGui__Hexa.NET.ImGui__4E73425C","ImGui bindings dependency."
"Dependencies","Mods/HexaGen.Runtime.dll","Safe","Dependency","DEDAFE0C309256DF620AF8D0CCC82D9D781E87EDF52AC838029F5A36A74F2380","HexaGen.Runtime__HexaGen.Runtime__DEDAFE0C","Hexa-generated runtime dependency."
"Malware and anti-detect","Mods/Kaban.cc.dll","Malware","Abuse + RAT/C2/spyware","3E6500CDE30D5D202453B1C801FF51E2BBC6142213E8C6DFFF128139E2804B1E","Kaban.cc__Kaban.cc__3E6500CD","Full RAT/cheat suite with WebView2/ImGui UI, ESP, aimbot, automation, anti-debug, anti-dump, anti-VM, hiding, HWID/license logic, telemetry, screenshots, and Socket.IO C2."
"Dependencies","Mods/KeraLua.dll","Safe","Dependency","A0EC77CE05FB711208F32B50BF2FD0BF2CF6FBFC087A22DF2534F243E3F03F7E","KeraLua__KeraLua__A0EC77CE","Lua runtime binding dependency."
"Dependencies","Mods/Microsoft.Web.WebView2.Core.dll","Safe","Dependency","2B999D1775004E98B32F281F4518F3952DF650970748527EF5B54FA9979D6C9C","Microsoft.Web.WebView2.Core__Microsoft.Web.WebView2.Core__2B999D17","WebView2 dependency used by `Kaban.cc` for UI."
"Dependencies","Mods/Microsoft.Web.WebView2.Wpf.dll","Safe","Dependency","B6A200F3DFCF2CB6C3B6E6179DA0590E01525B111E8F85B94C6060456102972F","Microsoft.Web.WebView2.Wpf__Microsoft.Web.WebView2.Wpf__B6A200F3","WebView2 WPF dependency."
"Dependencies","Mods/MinHook.NET.dll","Safe","Dual-use dependency","75DCAF807D819F9CFD330ECA33BCC2CF496F31BDAEE87614EAE1D42B1414E65B","MinHook.NET__MinHook.NET__75DCAF80","Hooking dependency; harmless as a library, but dual-use and present beside high-risk samples."
"Dependencies","Mods/Newtonsoft.Json.dll","Safe","Dependency","A28C251DFE36D881E9E2462E171441B8B0EC156FE3F452602C9149B1B9EFE05B","Newtonsoft.Json__Newtonsoft.Json__A28C251D","JSON dependency."
"Dependencies","Mods/NLua.dll","Safe","Dependency","29AF6AF4239AB7B8CF4E4EA19268AB5F5D0B7C52E27A1358EA56ED5C268F8368","NLua__NLua__29AF6AF4","Lua integration dependency."
"Dependencies","Mods/PresentationCore.dll","Safe","Dependency","83B1D7D6BCC397D26679AC6EB91BAD501867D8C11015E29614E263782405505A","PresentationCore__PresentationCore__83B1D7D6","WPF dependency."
"Dependencies","Mods/PresentationFramework.dll","Safe","Dependency","40FEE697DCABF7543C276BAD1A473377964224E8DCA87BA7ADB4E888C706078A","PresentationFramework__PresentationFramework__40FEE697","WPF dependency."
"Dependencies","Mods/SocketIOClient.dll","Safe","Dependency used by malware","8D37BA5CEE2D5AC7A133A48CB92B555C6CB6B2B23CC2AE7AB45CC4C67C7A1DC2","SocketIOClient__SocketIOClient__8D37BA5C","Socket.IO dependency used by `Kaban.cc` C2 logic."
"Dependencies","Mods/SpaceWizards.Lidgren.Network.dll","Safe","Dependency","3A9D41BBD2B0C14521DC46BE463AA373A1275574EC8693CFFCF77244A526B87F","SpaceWizards.Lidgren.Network__SpaceWizards.Lidgren.Network__3A9D41BB","Space Wizards fork/dependency for Lidgren networking."
"Dependencies","Mods/System.Drawing.Common.dll","Safe","Dependency used by screenshot code","96502314BA173A28729E2E1C2E65C42447ACD2E5A90F0F721C56AD8AE9FA38D5","System.Drawing.Common__System.Drawing.Common__96502314",".NET drawing dependency associated with screenshot/image code in `Kaban.cc`."
"Dependencies","Mods/System.IO.Packaging.dll","Safe","Dependency","08E66248C9E6649558D9E840AF41A07A4E5B00C6139842E278F7957F5BC1F384","System.IO.Packaging__System.IO.Packaging__08E66248",".NET packaging dependency."
"Dependencies","Mods/System.Windows.Forms.dll","Safe","Dependency","2292F948108DD44C3382E91329A7B3E79488FA737A35907F8B1D32B5A6BE7D51","System.Windows.Forms__System.Windows.Forms__2292F948","Windows Forms dependency."
"Dependencies","Mods/System.Xaml.dll","Safe","Dependency","29E6A4082ECAD4BBB81319C70BF348500DADA1C04412C49DA747765959EC8152","System.Xaml__System.Xaml__29E6A408","XAML dependency."
"Dependencies","Mods/UIAutomationProvider.dll","Safe","Dependency","12920B584280EBC5278FCEDE9F119AA4E519613006FA95BF4115378294006E0C","UIAutomationProvider__UIAutomationProvider__12920B58","UIAutomation dependency."
"Dependencies","Mods/UIAutomationTypes.dll","Safe","Dependency","FDC014EC4C4F1AEE74484407F73C8852D1B3DF9037885AF1BED7A1F8DE6E7666","UIAutomationTypes__UIAutomationTypes__FDC014EC","UIAutomation dependency."
"Dependencies","Mods/WebView2Loader.dll","Safe","Native dependency","8427B1FC58EC707813E5C0A51EB5D69397BB333250A7B891BE4D3B123F1E0F1C","none","Native WebView2 loader. Not managed .NET; tracked as dependency."
"Dependencies","Mods/WindowsBase.dll","Safe","Dependency","181153DF3D869B38357454F0F66248F57F0611F7CC9D892B5A7B8B45DDB97B08","WindowsBase__WindowsBase__181153DF","WPF/WindowsBase dependency."
"Dependencies","Mods/WinRT.Runtime.dll","Safe","Dependency","2238FECFEA07FCE5CEE748F3CE7EC8A59823A4571BE6F60A530BE8751D48BB35","WinRT.Runtime__WinRT.Runtime__2238FECF","WinRT runtime dependency."
"Network and exploit helpers","NetLogger.dll","Safe","Abuse: packet inspect/replay/modify","3ED27194685D3720A142A13391FD82FDB91F14C3BD5FA22B3B0BB371B944557D","NetLogger__NetLogger__3ED27194","Patches network logging, shows SEND/RECV packets, stores recent messages, and provides UI for inspection, replay, and modified packet sending."
"Visual bypass","NoOverlay.dll","Safe","Abuse: visual bypass","EF47584CDFAA5F9F3D4BB67ADE2A7BD9FA60FD687C683F237F9DA8F6DED0D53A","NoOverlay__NoOverlay__EF47584C","Blocks flash, blind, blurry, temporary blindness, and eye damage paths."
"Visual bypass","OverlaysPatch_1.dll","Safe","Abuse: visual bypass","2D905D352D355E603092DC6517E238096314F63EDA7E13905557FED95BBB5DCB","OverlaysPatch_1__OverlaysPatch__2D905D35","Simplified overlay bypass for drunk, rainbow, blind, and blurry overlays."
"Visual bypass","OverlaysPatch.dll","Safe","Abuse: visual bypass","A8C1E6C105EDDD82A1D6A9E5B3D438A4227ED45AF4DABB937560BB4EE4AAAA9C","OverlaysPatch__OverlaysPatch__A8C1E6C1","More complete overlay bypass for drunk, rainbow, blind, and blurry overlays."
"Frameworks and inert","Rethemer.dll","Safe","Cosmetic","7E41D3FAE2529564DD3D48C4DF873E9EA4B2537FCEBC93B3CC3752F15ECB38B7","Rethemer__Rethemer__7E41D3FA","Cosmetic style transpiler for `StyleNano` and `MenuButton`; changes stylesheet/menu theme to a Marsey-style variant."
"Visual bypass","Robusto_1.dll","Safe","Abuse: visual bypass","5AAF4029DD4FF60DC12767C39DE4A1467C2ABFEB6E7479B1759F46F551D8014C","Robusto_1__Robusto__5AAF4029","Disables FOV, light/shadows, stealth shader, drunk/rainbow/blind/blurry/flash overlays."
"Frameworks and inert","RotatePath.dll","Safe","None/inert utility","4395DA068FF2FB8008FC2E6021F4317B2F256702F798660A2507D314CF1A7743","RotatePath__RotatePath__4395DA06","`spin on/off` changes a static flag, but no code was found that applies rotation. Appears incomplete or inert."
"Dependencies","Serilog.dll","Safe","Dependency","BA73B4BF7C8EF54303AD3CE540AC61855E0CD0D8396AD622059D43CCDEA1C854","Serilog__Serilog__BA73B4BF","Standard logging dependency."
"Network and exploit helpers","somth.dll","Safe","Abuse: combat stat cheat","167A5201B6C93C736A056ED8560BAB3438FD20BE5D87CFE3246B08D26D2C2730","somth__somth__167A5201","Postfixes `MeleeWeaponComponent` and forces `AttackRate = 99f`."
"Network and exploit helpers","SukaDaKakogoHuya.dll","Safe","Abuse: character/species restriction bypass","00612F05F927465C4044AD21B74AE867326C05F45587171A509B94BADD1C1866","SukaDaKakogoHuya__SukaDaKakogoHuya__00612F05","Patches `HumanoidProfileEditor`, expands/changes species selection, and invokes species/picker update paths."
"Malware and anti-detect","SuperGovnoWare.dll","Malware/PUP","PUP: opens external URL","435329C41AA1CC63A9A674D6FB8AA9CB9AE94C56408669BFA92AFB56F5D6F5F9","SuperGovnoWare__SuperGovnoWare__435329C4","Invokes an external URL through process launch behavior."
"Visual bypass","UpNoOverlay.dll","Safe","Abuse: visual bypass","37FDC0BABC8A4BFBCB5E7A8C18BC4736332258E8D379A6E6C8BAEF4298C97C1A","UpNoOverlay__UpNoOverlay__37FDC0BA","Expanded visual bypass: damage, drunk, rainbow, blind, blurry, flash, occlusion depth, and smoke visuals."
"Admin and permission bypass","Zazi4kaMod_1.dll","Safe","Abuse: admin description leak","91BCD5C2FCDFC031122AB066F05D8EE2D5606EE5DD20F244075CF806A3A72D71","Zazi4kaMod_1__Zazi4kaMod__91BCD5C2","Patches entity menu description lookup and substitutes admin-only entity descriptions."
"Malware and anti-detect","AntiCheatBypass.dll","Safe","Abuse: anti-cheat/anti-detect bypass","C1457D01999DA1A552460FED69DD27A1E16BFBE2EBFB654ED024D3C8FD590F3E","AntiCheatBypass__ClassLibrary1__C1457D01","Obfuscated Cerberus anti-AC module. Patches type discovery, entity system discovery, assembly enumeration, IoC filtering, and `Type.GetType` paths to hide suspicious names/types."
"Malware and anti-detect","CerbFix/CerberusWareV3.dll","Malware","Abuse + anti-detect + ESP/aimbot suite","62D9C8E3F6369EACF28BD0D0DA776B50B8657F48E1C7F242B250716865E02142","CerberusWareV3__CerberusWareV3__62D9C8E3","Large cheat suite with ImGui UI, anticheat blockers, assembly/type/component hiding, FOV bypass, storage and implant viewers, antag detection, aim helpers, spam/ahelp automation, screenshot hiding, and external HTTP translation calls."
"Admin and permission bypass","Chemical_Scan_Patch.dll","Safe","Abuse: chemical information bypass","C5DE0A5104108EBE9429C9F0E6EE618B52583A301C3E3DBBF90241954D48CEAA","Chemical_Scan_Patch__Chemical_Scan_Patch__C5DE0A51","Adds `SolutionScannerComponent` to the local player on attach, enabling chemical scan-style information without normal requirements."
"Visual bypass","DODPatch.dll","Safe","Abuse: visual bypass","359EBE88FE111C3C081F7BAEBEEA98AA0228534369BE2455F4715325C22A95B5","DODPatch__DODPatch__359EBE88","New reflected build of the occlusion-depth bypass."
"Visual bypass","FlashPatch.dll","Safe","Abuse: visual bypass","A3B1D3F8DE6D2E0A61548A32EA6D79F48E64CB7A238AFF14AB8D6A780BCA4E94","FlashPatch__FlashPatch__A3B1D3F8","New reflected build of the flash overlay disabler."
"Spam and chat abuse","HRP_Spam_Patch.dll","Safe","Abuse: roleplay action spam","B2F73069A704C1ACFE9D17595AF0FB54675B3518812643AB4AF73F5CEFE4AE00","HRP_Spam_Patch__HRP_Spam_Patch__B2F73069","Adds `starthrpspam` and `stophrpspam`; repeatedly executes `me` commands for heartbeat, blinking, and breathing loops."
"Network and exploit helpers","InstantPickup.dll","Safe","Abuse: input/action automation","3668155D0B32BB3648D6E115E54DB8803DF1D86F0F6B7535704D0307BD93188A","InstantPickup__InstantPickup__3668155D","Patches item hand interaction to pick up directly, redirects pickup verb execution, and intercepts smart backpack/belt hotkeys to pull the last stored item from storage through predictive UI events."
"Frameworks and inert","Lua14.dll","Safe","Dual-use: runtime patch scripting","6360ECF146D30191108B7C37E3277A3E1D2966F6F7A449F1B57BD84621434455","Lua14__Lua14__6360ECF1","Loads zip-based Lua mods from `LuaMods`, exposes reflection and Harmony patch APIs to Lua, and registers `lua14.loadstring`. High abuse potential with untrusted scripts."
"Network and exploit helpers","RRTBypass.dll","Safe","Abuse: ghost role request restriction bypass","FB48568C7FB481B478C1B4B619CC639283812A4FF247713BC000E87E03F58561","RRTBypass__RRTBypass__FB48568C","Postfixes `GhostRoleRulesWindow.FrameUpdate` and forces the request button `Disabled` property to false."
"Spam and chat abuse","Smart_Spam_Patch.dll","Safe","Abuse: chat spam","61EAC9C14DE7EBBA5DB2562E7EEC4D77E49AE35A93827A3819658F3C4203DAAA","Smart_Spam_Patch__SimpleCommand__61EAC9C1","Adds `startspam` and `editspam`; configurable repeated `say` spam with message count and delay."
"Malware and anti-detect","SunriseObhod14.dll","Safe","Abuse: role verification / anti-detect bypass","1299BDD42970469D13BF44DB603388214F60C4B374E440F90B2105FEF35AB7A4","SunriseObhod14__SunriseObhod14__1299BDD4","Heavily obfuscated sample with `SuppressIldasm`, encrypted string/resource logic, and Harmony target methods against `RoleVerificationClient`."
"Frameworks and inert","OpenHook.dll","Safe","Dual-use: ImGui/hooking framework","6F610E6CCE72B8C108CDB2B7DB979D303133714D1385FDFC6E7B40AF492340D9","OpenHook__OpenWare__6F610E6C","Early/debug OpenWare build. Hooks Robust rendering/input, creates an ImGui overlay, and provides menu/input bridge infrastructure."
"Frameworks and inert","OpenWare.dll","Safe","Dual-use: ImGui/hooking framework","AFAF78C705D65E6DE84144C678024291DAD0CB5586EA32D58ECB7A75F12F51E5","OpenWare__OpenWare__AFAF78C7","Release OpenWare build. Hooks `Clyde.GLContextWindow.SwapAllBuffers`, bridges keyboard/mouse/SDL text input into ImGui, blocks game binds while overlay captures input, and shows a debug overlay."
"Admin and permission bypass","patches/AdminPatch.dll","Safe","Abuse: admin and console permission bypass","6E40E0790469C00A31255EBDF425B214B446FB532AA44F3D71176D34CCA0773B","AdminPatch__AdminPatch__6E40E079","Newer admin patch build with forced `ClientAdminManager` permissions, console `CanExecute`, `CanSay`, and admin entity description replacement."
"Network and exploit helpers","GodMode Exploit.dll","Safe","None/inert metadata","258F3C79C9A710CCF59D6A175DB1F7A8C7D80A5A5B151DAA54991FDEC1C96DC6","GodMode_Exploit__GodMode_Exploit__258F3C79","Despite the file name, static review found only `SubverterPatch` metadata and assembly info. No command, patch target, system, or runtime logic was found."
"Visual bypass","GYK3h5m.dll","Safe","Abuse: no-FOV/no-overlay/no-flash","498502F3AFE7D3C6B5FF425859C312A0DA2AA0EEC3631CA43C85DA2C5BA25948","GYK3h5m__NewRobustFix__498502F3","Obscure file name; assembly is `NewRobustFix`. Targets drunk, rainbow, blurry, blind, flash, and Clyde depth methods."
"Visual bypass","patches/OverlaysPatch.dll","Safe","Abuse: visual bypass","EF514ED67F10C0D5B035F8B23C1396A6B3DB30284126B274B8D23335D5359DBF","OverlaysPatch__OverlaysPatch__EF514ED6","New v2 build that postfixes overlay pre-draw checks for drunk, rainbow, blurry, and blind overlays."
"Visual bypass","SmokePatch.dll","Safe","Abuse: visual bypass","48ECB1F969208732AE0543761C9ADF4D3CC8674B2D93384DBCEF349F77C2F375","SmokePatch__SmokePatch__48ECB1F9","Prefix skips smoke visualizer rendering. Metadata label is misleading and still says flash overlay disabler."
"Spam and chat abuse","SpamMod.dll","Safe","Abuse: spam/anti-spam evasion","3544E2ECAB7E02FA5FADE99B878B3463FE14B056021A0321F59890931F20822F","SpamMod__SpamPatch__3544E2EC","Adds `spamprotect`; reads `Marsey/Config/SpamText.txt` and sends repeated radio-style messages with randomized suffixes intended to bypass anti-spam filters."
"Visual bypass","patches/UpNoOverlay.dll","Safe","Abuse: visual bypass","50B1E84D92184081115E61ABCBEB958AA49034A2A9B977DA98A968F1D97B106D","UpNoOverlay__UpNoOverlay__50B1E84D","New build disabling damage, drunk, rainbow, blurry, blind, flash, and Clyde occlusion-depth rendering."
"Malware and anti-detect","photoTroll.dll","Safe","Abuse: screenshot/capture tampering","BB32043EE3EC70D21B5D60A8BAA01CD2B16FF1C1D22D59BB95C32C326A2581D6","photoTroll__photoTroll__BB32043E","Patches `CaptureSystem.RequestCaptureScreen`; can send a fake `CaptureScreenResponseEvent` from `Marsey/Mods/photoTroll/image.png` and suppress the original capture request."
"Admin and permission bypass","Sander.dll","Safe","Abuse: ESP/search/implant/role overlays","B6D170E60F78034AD31FCE1D2D1CE7F35B2F24CD661DFEAF2F15F566E4B9B59F","Sander__Sander__B6D170E6","Source-visible overlay/search mod with item search, implant display, coordinate markers, syndicate/pirate labels, sound subtitles, footsteps, camera toggles, and a target-selection aimbot overlay."
